,title,price,location,luas_tanah,luas_bangunan,kamar_tidur,kamar_mandi,garasi,carport,sertifikat,jumlah_lantai,url
10,Rumah Hook Ada Lift dan Pool di Bukit Golf Pondok Indah,Rp 135 Miliar,Jakarta Selatan Pondok Indah,1980 m²,800 m²,5,3,5,,SHM,2,https://www.rumah123.com/properti/jakarta-selatan-pondok-indah/rumah-hook-ada-lift-dan-pool-di-bukit-golf-pondok-indah-hos18798452/
11,"Rumah Hitung Tanah di Gedung Hijau Pondok Indah, 150 m ke Jalan Raya Utama,","Rp 9,1 Miliar",Jakarta Selatan Pondok Indah,250 m²,438 m²,5,5,2,,SHM,2,https://www.rumah123.com/properti/jakarta-selatan-pondok-indah/rumah-hitung-tanah-di-gedung-hijau-pondok-indah-150-m-ke-jalan-raya-utama-hos17719844/
12,"Dijual Rumah Mewah - Townhouse Eksklusif Jl. Bangka, Jakarta Selatan","Rp 11,5 Miliar",Jakarta Selatan Bangka,304 m²,600 m²,6,5,,2,SHM,2,https://www.rumah123.com/properti/jakarta-selatan-bangka/dijual-rumah-mewah-townhouse-eksklusif-jl-bangka-jakarta-selatan-hos40884764/
13,Rumah Mewah dan Eksklusif 4 Lantai Ada Lift dan Ada Private Pool di Kemang Jakarta Selatan,Rp 12 Miliar,Jakarta Selatan Kemang,180 m²,500 m²,4,5,2,2,SHM,4,https://www.rumah123.com/properti/jakarta-selatan-kemang/rumah-mewah-dan-ekslusif-4-lantai-ada-lift-dan-ada-private-pool-di-kemang-jakarta-selatan-hos41044478/
14,Urgent Harus Terjual Rumah dengan Pool Lokasi Strategis Dekat Mall One Belpark Cilandak,"Rp 6,9 Miliar",Jakarta Selatan Cilandak,335 m²,320 m²,4,3,1,2,SHM,1,https://www.rumah123.com/properti/jakarta-selatan-cilandak/urgent-harus-terjual-rumah-dengan-pool-lokasi-strategis-dekat-mall-one-belpark-cilandak-hos39633846/
15,"Dijual Rumah di Kebon Jeruk Jl Masjid Al Anwar, Dekat ke Jl Panjang - Palmerah, Bagus SHM","Rp 4,69 Miliar",Jakarta Barat Kebon Jeruk,141 m²,300 m²,,4,3,1,SHM,4,https://www.rumah123.com/properti/jakarta-barat-kebon-jeruk/dijual-rumah-di-kebon-jeruk-jl-masjid-al-anwar-dekat-ke-jl-panjang-palmerah-bagus-shm-hos40732133/
16,"Dijual Rumah di Komplek Dpr Pribadi, Meruya, Rumah SHM Bagus di Komplek Dpr Ri, Jl. Meruya Selatan, Joglo, Kembangan, Kota Jakarta Barat, Dki Jakarta, Indonesia, 11640, Meruya","Rp 5,09 Miliar",Jakarta Barat Meruya,200 m²,300 m²,4,3,,2,SHM,2,https://www.rumah123.com/properti/jakarta-barat-meruya/dijual-rumah-di-komplek-dpr-pribadi-meruya-rumah-shm-bagus-di-komplek-dpr-ri-jl-meruya-selatan-joglo-kembangan-kota-hos40724262/
17,Jual Rumah Mewah Hoek 479M2 Anti Banjir di Kompleks Greenville,"Rp 13,5 Miliar",Jakarta Barat Duri Kepa,479 m²,430 m²,5,3,2,1,SHM,2,https://www.rumah123.com/properti/jakarta-barat-duri-kepa/jual-rumah-mewah-hoek-479m2-anti-banjir-di-kompleks-greenville-hos41153362/
18,Komp Perumahan Unilever Meruya Selatan Rumah,"Rp 2,98 Miliar",Jakarta Barat Meruya,195 m²,175 m²,4,3,2,1,SHM,1,https://www.rumah123.com/properti/jakarta-barat-meruya/komp-perumahan-unilever-meruya-selatan-rumah-hos39610943/
19,House DIJUAL di PURI INDAH 160m²,"Rp 7,5 Miliar",Jakarta Barat Puri Indah,160 m²,350 m²,3,3,,,SHM,3,https://www.rumah123.com/properti/jakarta-barat-puri-indah/house-dijual-di-puri-indah-160m-hos12713215/
20,Puri Indah Brand New Jarang Ada Dijual,"Rp 3,95 Miliar",Jakarta Barat Puri Indah,82 m²,190 m²,3,3,,1,SHM,2,https://www.rumah123.com/properti/jakarta-barat-puri-indah/puri-indah-brand-new-jarang-ada-dijual-hos40850879/
21,"Rumah Baru Indent. *Satu Satunya Perumahan Baru Terbesar, Termurah, Termodern di Duri Kepa, Jakarta Barat Saat Ini* *Ada 44 Unit Rumah Baru Indent...**""Harga Pasaran Jual 2.5-2.9M, Kami Jual Jauh Dibawah Pasaran & Dgn Fasilitas N Promo Terbaik""*(Kode Rmrg","Rp 2,27 Miliar",Jakarta Barat Duri Kepa,64 m²,181 m²,5,4,,2,SHM,3,https://www.rumah123.com/properti/jakarta-barat-duri-kepa/satu-satunya-perumahan-baru-terbesar-termurah-termodern-di-duri-kepa-jakarta-barat-saat-ini-ada-44-unit-rumah-baru-hos40995570/
22,Ana Rumah 3.5Lt Luas 4X16m Jalan Lebar Lokasi Strategis di Jelambar - * Good- Deal !!*,"Rp 2,1 Miliar",Jakarta Barat Jelambar,64 m²,168 m²,3,3,1,1,SHM,4,https://www.rumah123.com/properti/jakarta-barat-jelambar/ana-rumah-35lt-luas-4x16m-jalan-lebar-lokasi-strategis-di-jelambar-good-deal-hos41207119/
23,"Rumah Ellit di Puri Indah, Deket dengan Sekolah,2 Mall Besar",Rp 15 Miliar,Jakarta Barat Puri Indah,465 m²,486 m²,6,5,2,2,SHM,2,https://www.rumah123.com/properti/jakarta-barat-puri-indah/rumah-ellit-di-puri-indah-deket-dengan-sekolah2-mall-besar-hos39851580/
24,Dijual Murah Htung Tanah! Rumah Permata Buana Jakarta Barat,"Rp 4,5 Miliar",Jakarta Barat Permata Buana,144 m²,200 m²,3,3,1,1,SHM,2,https://www.rumah123.com/properti/jakarta-barat-permata-buana/dijual-murah-htung-tanah-rumah-permata-buana-jakarta-barat-hos40207599/
25,Rumah Baru 3 Lantai Bagus Megah Strategis Tomang Jakarta Barat,"Rp 3,3 Miliar",Jakarta Barat Tomang,90 m²,195 m²,5,3,1,2,SHM,3,https://www.rumah123.com/properti/jakarta-barat-tomang/rumah-baru-3-lantai-bagus-megah-strategis-tomang-jakarta-barat-hos39011357/
